Number,Arrival time,X1,X2,X3,,,,,
1,08:00:00 AM,15.0560014648885,8.63838618121891,23.6943876461074,,,X1,X2,X3
2,08:00:00 AM,12.8054445020905,8.72530289620655,21.5307473982971,,MEAN,16,8,24
3,08:00:00 AM,16.7718741416669,6.36500137333293,23.1368755149998,,,,,
4,08:00:00 AM,19.1928464613788,9.09384441663869,28.2866908780175,,,,,
5,08:01:00 AM,19.07687612537,7.91460921048616,26.9914853358562,,,,,
6,08:01:00 AM,19.6677144688253,6.57777642139958,26.2454908902249,,,,,
7,08:01:00 AM,12.1159703360088,6.77211828974273,18.8880886257515,,,,,
8,08:01:00 AM,15.2593768120365,6.95510727256081,22.2144840845973,,,,,
9,08:02:00 AM,18.9059724723045,6.15369121372112,25.0596636860256,,,,,
10,08:02:00 AM,13.108676412244,9.18088320566424,22.2895596179083,,,,,
11,08:02:00 AM,13.9602649006623,8.63521225623341,22.5954771568957,,,,,
12,08:03:00 AM,12.3637806329539,7.45194860683004,19.8157292397839,,,,,
13,08:03:00 AM,12.2590411084323,9.10043641468551,21.3594775231178,,,,,
14,08:03:00 AM,13.3130283516953,6.94277779473251,20.2558061464278,,,,,
15,08:03:00 AM,13.7568895535142,7.80034791100803,21.5572374645222,,,,,
16,08:03:00 AM,12.1367229224525,7.82940153202918,19.9661244544816,,,,,
17,08:04:00 AM,14.2803430280465,8.67012543107395,22.9504684591205,,,,,
18,08:04:00 AM,14.7447126682333,7.16653950621052,21.9112521744438,,,,,
19,08:04:00 AM,16.4290902432325,7.21329386272774,23.6423841059603,,,,,
20,08:05:00 AM,14.8589739677114,6.68935209204382,21.5483260597552,,,,,
21,08:05:00 AM,14.9747001556444,8.73860896633808,23.7133091219825,,,,,
22,08:05:00 AM,14.8448133793146,9.1797845393231,24.0245979186377,,,,,
23,08:05:00 AM,19.2824488052004,6.02563554795984,25.3080843531602,,,,,
24,08:05:00 AM,15.7281411175878,9.17307046723838,24.9012115848262,,,,,
25,08:06:00 AM,15.4092837305826,8.09564500869778,23.5049287392804,,,,,
26,08:06:00 AM,14.4312265388958,7.97442548905911,22.405652027955,,,,,
27,08:06:00 AM,19.8056581316568,7.17728202154607,26.9829401532029,,,,,
28,08:06:00 AM,18.4533219397565,8.71272927030244,27.1660512100589,,,,,
29,08:07:00 AM,19.9299295022431,9.68761253700369,29.6175420392468,,,,,
30,08:07:00 AM,14.0501113925596,6.97891170995209,21.0290231025117,,,,,
31,08:07:00 AM,19.613513595996,9.58043153172399,29.19394512772,,,,,
