Number,Arrival time,X1,X2,X3,,,,,
1,8:00,15,14,29,,,,,
2,8:00,14,13,28,,,X1,X2,X3
3,8:00,13,12,25,,MEAN,16,14,30
4,8:00,14,13,27,,,,,
5,8:00,14,14,28,,,,,
6,8:00,16,14,30,,,,,
7,8:01,17,16,34,,,,,
8,8:01,16,15,31,,,,,
9,8:01,18,13,31,,,,,
10,8:02,15,15,30,,,,,
11,8:03,16,16,32,,,,,
12,8:03,17,12,29,,,,,
13,8:04,15,15,30,,,,,
14,8:05,17,13,30,,,,,
15,8:05,14,13,28,,,,,
16,8:05,15,12,27,,,,,
17,8:05,15,16,31,,,,,
18,8:06,19,12,31,,,,,
19,8:06,18,15,34,,,,,
20,8:06,17,15,31,,,,,
21,8:07,19,15,34,,,,,
22,8:07,15,13,28,,,,,
23,8:07,18,11,29,,,,,
24,8:08,13,16,29,,,,,
25,8:08,19,12,31,,,,,
26,8:09,14,14,28,,,,,
27,8:09,18,13,31,,,,,
28,8:09,18,14,31,,,,,
29,8:09,15,11,26,,,,,
30,8:10,17,14,31,,,,,
31,8:10,16,15,31,,,,,
32,8:11,15,13,28,,,,,
33,8:11,19,11,30,,,,,
34,8:12,16,12,27,,,,,
35,8:12,17,16,33,,,,,
36,8:13,17,12,29,,,,,
37,8:13,16,14,30,,,,,
38,8:13,17,17,34,,,,,
39,8:14,15,16,31,,,,,
40,8:14,14,13,27,,,,,
41,8:15,16,12,27,,,,,
42,8:15,17,12,30,,,,,
43,8:15,15,15,30,,,,,
44,8:16,19,15,34,,,,,
45,8:16,13,12,25,,,,,
46,8:17,14,16,31,,,,,
47,8:17,15,14,29,,,,,
48,8:17,18,16,34,,,,,
49,8:18,14,14,27,,,,,
50,8:18,15,17,32,,,,,
51,8:19,17,17,33,,,,,
52,8:19,13,14,27,,,,,
53,8:20,17,14,31,,,,,
54,8:20,18,12,31,,,,,
55,8:21,16,15,31,,,,,
56,8:21,16,12,28,,,,,
57,8:21,19,16,35,,,,,
58,8:21,14,12,25,,,,,
59,8:22,15,16,31,,,,,
60,8:23,17,11,28,,,,,
61,8:23,13,16,29,,,,,
62,8:24,18,14,31,,,,,
63,8:24,18,16,34,,,,,
64,8:24,15,12,27,,,,,
65,8:25,15,15,30,,,,,
66,8:25,16,14,30,,,,,
67,8:25,19,16,35,,,,,
68,8:25,14,16,30,,,,,
69,8:26,13,11,25,,,,,
70,8:27,15,12,27,,,,,
71,8:27,15,14,29,,,,,
72,8:28,14,15,29,,,,,
73,8:28,13,12,25,,,,,
74,8:29,15,13,27,,,,,
75,8:29,15,14,29,,,,,
76,8:29,17,11,28,,,,,
77,8:30,13,16,30,,,,,
78,8:30,17,16,33,,,,,
79,8:30,18,11,29,,,,,
80,8:31,16,12,27,,,,,
81,8:31,15,16,31,,,,,
82,8:32,14,14,28,,,,,
83,8:32,19,16,35,,,,,
84,8:33,16,12,28,,,,,
85,8:33,15,15,30,,,,,
86,8:33,16,13,29,,,,,
87,8:34,16,13,29,,,,,
88,8:35,17,13,29,,,,,
89,8:35,17,16,33,,,,,
90,8:35,15,15,30,,,,,
91,8:35,18,14,31,,,,,
92,8:36,14,16,30,,,,,
93,8:36,18,13,31,,,,,
94,8:37,18,14,32,,,,,
95,8:37,16,13,28,,,,,
96,8:37,13,12,25,,,,,
97,8:38,18,17,34,,,,,
98,8:39,18,11,29,,,,,
99,8:39,13,17,30,,,,,
100,8:40,16,13,29,,,,,
101,8:40,14,16,30,,,,,
102,8:40,15,16,31,,,,,
103,8:41,16,16,33,,,,,
104,8:41,18,13,31,,,,,
105,8:41,15,12,26,,,,,
106,8:42,14,12,26,,,,,
107,8:42,19,16,35,,,,,
108,8:42,15,16,32,,,,,
109,8:43,17,11,29,,,,,
110,8:43,13,15,29,,,,,
111,8:44,18,17,35,,,,,
112,8:45,18,15,33,,,,,
113,8:45,16,14,31,,,,,
114,8:45,14,14,28,,,,,
115,8:45,14,17,31,,,,,
116,8:46,13,17,30,,,,,
117,8:47,13,14,28,,,,,
118,8:47,14,16,30,,,,,
119,8:48,13,16,30,,,,,
120,8:48,18,13,31,,,,,
121,8:48,17,15,31,,,,,
122,8:49,19,11,30,,,,,
123,8:49,14,12,27,,,,,
124,8:49,19,16,35,,,,,
125,8:49,14,17,30,,,,,
126,8:50,13,17,30,,,,,
127,8:50,17,13,31,,,,,
128,8:51,18,11,29,,,,,
129,8:51,18,13,31,,,,,
130,8:52,13,14,27,,,,,
131,8:53,16,13,29,,,,,
132,8:53,14,17,31,,,,,
133,8:53,13,14,27,,,,,
134,8:54,17,16,33,,,,,
135,8:54,17,13,30,,,,,
136,8:55,14,12,26,,,,,
137,8:55,14,12,26,,,,,
138,8:55,15,15,30,,,,,
139,8:56,16,13,29,,,,,
140,8:56,18,12,29,,,,,
141,8:56,15,17,31,,,,,
142,8:57,18,15,33,,,,,
143,8:57,19,12,30,,,,,
144,8:57,18,15,33,,,,,
145,8:58,16,11,27,,,,,
146,8:59,17,15,31,,,,,
147,8:59,13,15,28,,,,,
148,9:00,15,14,29,,,,,
149,9:00,14,14,28,,,,,
150,9:00,16,15,31,,,,,
151,9:00,15,14,29,,,,,
152,9:01,18,16,34,,,,,
153,9:01,15,14,29,,,,,
154,9:01,15,16,31,,,,,
155,9:02,13,13,26,,,,,
156,9:03,14,12,26,,,,,
157,9:03,18,17,35,,,,,
158,9:03,15,16,31,,,,,
159,9:04,14,12,26,,,,,
160,9:04,18,17,35,,,,,
161,9:05,16,13,29,,,,,
162,9:05,18,16,34,,,,,
163,9:05,16,15,31,,,,,
164,9:05,19,16,34,,,,,
165,9:06,16,14,30,,,,,
166,9:06,18,12,30,,,,,
167,9:07,16,11,27,,,,,
168,9:07,15,17,32,,,,,
169,9:08,14,16,30,,,,,
170,9:09,16,16,31,,,,,
171,9:09,16,15,31,,,,,
172,9:09,16,13,28,,,,,
173,9:10,17,13,30,,,,,
174,9:10,16,14,30,,,,,
175,9:10,15,16,32,,,,,
176,9:11,17,17,34,,,,,
177,9:11,19,14,33,,,,,
178,9:12,17,13,30,,,,,
179,9:12,15,15,29,,,,,
180,9:12,16,17,32,,,,,
181,9:13,13,17,30,,,,,
182,9:13,19,15,33,,,,,
183,9:13,17,12,29,,,,,
184,9:14,18,11,30,,,,,
185,9:15,18,15,33,,,,,
186,9:15,19,14,33,,,,,
187,9:15,13,12,26,,,,,
188,9:16,15,15,30,,,,,
189,9:17,14,16,29,,,,,
190,9:17,17,16,33,,,,,
191,9:17,19,14,32,,,,,
192,9:17,19,16,35,,,,,
193,9:18,17,12,29,,,,,
194,9:18,18,15,33,,,,,
195,9:19,18,14,32,,,,,
196,9:19,18,13,31,,,,,
197,9:20,14,14,28,,,,,
198,9:20,13,12,26,,,,,
199,9:20,17,16,33,,,,,
200,9:21,19,15,34,,,,,
201,9:21,17,17,34,,,,,
202,9:21,18,15,33,,,,,
203,9:22,14,16,30,,,,,
204,9:23,17,13,30,,,,,
205,9:23,18,14,32,,,,,
206,9:24,17,12,29,,,,,
207,9:24,17,14,31,,,,,
208,9:24,15,15,30,,,,,
209,9:25,15,14,29,,,,,
210,9:25,18,17,35,,,,,
211,9:25,17,15,32,,,,,
212,9:25,17,12,29,,,,,
213,9:26,17,16,33,,,,,
214,9:27,16,12,28,,,,,
215,9:27,15,14,29,,,,,
216,9:28,16,13,29,,,,,
217,9:28,15,12,27,,,,,
218,9:29,15,11,26,,,,,
219,9:29,18,13,31,,,,,
220,9:29,14,13,27,,,,,
221,9:30,16,12,28,,,,,
222,9:30,18,15,33,,,,,
223,9:31,17,15,32,,,,,
224,9:31,15,15,30,,,,,
225,9:33,18,12,30,,,,,
226,9:33,14,13,27,,,,,
227,9:35,16,13,29,,,,,
228,9:35,17,15,32,,,,,
229,9:36,17,15,32,,,,,
230,9:36,19,16,35,,,,,
231,9:37,13,11,25,,,,,
232,9:37,19,13,32,,,,,
233,9:38,17,16,33,,,,,
234,9:39,14,12,26,,,,,
235,9:40,14,16,30,,,,,
236,9:41,18,16,34,,,,,
237,9:41,14,16,30,,,,,
238,9:42,15,16,31,,,,,
239,9:43,14,14,28,,,,,
240,9:44,17,15,32,,,,,
241,9:45,15,16,31,,,,,
242,9:45,18,13,30,,,,,
243,9:45,17,16,33,,,,,
244,9:45,17,15,32,,,,,
245,9:47,13,13,26,,,,,
246,9:48,17,15,32,,,,,
247,9:49,17,16,33,,,,,
248,9:49,18,11,29,,,,,
249,9:50,15,12,26,,,,,
250,9:51,14,15,29,,,,,
251,9:52,15,12,27,,,,,
252,9:52,19,13,32,,,,,
253,9:53,15,15,30,,,,,
254,9:53,13,16,29,,,,,
255,9:54,17,16,33,,,,,
256,9:55,17,14,31,,,,,
257,9:55,18,12,30,,,,,
258,9:57,14,16,30,,,,,
259,9:57,16,13,29,,,,,
260,9:59,15,12,27,,,,,
261,9:59,14,13,27,,,,,
262,10:00,14,16,30,,,,,
263,10:00,17,16,33,,,,,
264,10:00,14,14,28,,,,,
265,10:00,14,13,27,,,,,
266,10:01,15,16,31,,,,,
267,10:01,14,16,29,,,,,
268,10:03,14,16,30,,,,,
269,10:05,13,13,26,,,,,
270,10:05,16,11,27,,,,,
271,10:05,15,14,29,,,,,
272,10:06,17,11,28,,,,,
273,10:06,16,16,32,,,,,
274,10:07,13,13,27,,,,,
275,10:08,15,12,27,,,,,
276,10:09,19,17,35,,,,,
277,10:09,17,12,29,,,,,
278,10:10,18,13,31,,,,,
279,10:11,14,11,25,,,,,
280,10:12,13,15,29,,,,,
281,10:13,15,14,29,,,,,
282,10:13,15,16,31,,,,,
283,10:13,14,14,28,,,,,
284,10:15,16,16,31,,,,,
285,10:15,19,15,34,,,,,
286,10:16,18,13,31,,,,,
287,10:17,17,15,32,,,,,
288,10:17,18,14,32,,,,,
289,10:18,16,14,30,,,,,
290,10:19,13,12,25,,,,,
291,10:20,19,14,33,,,,,
292,10:20,14,13,27,,,,,
293,10:21,18,15,33,,,,,
294,10:21,18,14,32,,,,,
295,10:23,14,11,25,,,,,
296,10:24,18,14,32,,,,,
297,10:24,17,14,31,,,,,
298,10:25,16,16,32,,,,,
299,10:25,14,14,28,,,,,
300,10:25,18,12,30,,,,,
301,10:27,16,15,31,,,,,
302,10:27,14,16,30,,,,,
303,10:29,18,13,31,,,,,
304,10:29,18,17,35,,,,,
305,10:30,14,14,27,,,,,
306,10:30,17,14,32,,,,,
307,10:31,14,11,25,,,,,
308,10:32,18,14,33,,,,,
309,10:33,14,15,29,,,,,
