Number,Arrival time,X1,X2,X3,,,,,
1,8:00,8,11,19,,,,,
2,8:00,13,9,22,,,X1,X2,X3
3,8:00,9,8,17,,MEAN,10,8,18
4,8:00,11,10,21,,,,,
5,8:00,10,10,20,,,,,
6,8:00,7,6,13,,,,,
7,8:00,8,8,15,,,,,
8,8:01,9,6,15,,,,,
9,8:01,12,8,20,,,,,
10,8:01,9,5,14,,,,,
11,8:01,8,9,17,,,,,
12,8:01,11,7,19,,,,,
13,8:02,10,9,20,,,,,
14,8:02,8,10,18,,,,,
15,8:03,11,5,16,,,,,
16,8:03,12,6,19,,,,,
17,8:03,8,8,16,,,,,
18,8:04,8,11,19,,,,,
19,8:04,12,5,17,,,,,
20,8:05,9,6,15,,,,,
21,8:05,8,8,17,,,,,
22,8:05,12,10,21,,,,,
23,8:05,13,8,20,,,,,
24,8:06,12,9,21,,,,,
25,8:06,12,10,22,,,,,
26,8:06,7,7,14,,,,,
27,8:07,11,5,16,,,,,
28,8:07,9,8,17,,,,,
29,8:07,8,9,17,,,,,
30,8:07,12,9,20,,,,,
31,8:08,12,6,17,,,,,
32,8:08,11,10,21,,,,,
33,8:08,7,6,14,,,,,
34,8:09,9,10,20,,,,,
35,8:09,10,5,15,,,,,
36,8:09,11,8,19,,,,,
37,8:09,8,6,14,,,,,
38,8:09,12,6,19,,,,,
39,8:10,9,9,18,,,,,
40,8:10,7,7,14,,,,,
41,8:11,7,8,15,,,,,
42,8:11,8,6,14,,,,,
43,8:12,8,7,15,,,,,
44,8:12,12,11,23,,,,,
45,8:12,7,7,14,,,,,
46,8:13,9,8,17,,,,,
47,8:13,8,8,15,,,,,
48,8:13,12,11,23,,,,,
49,8:13,13,9,22,,,,,
50,8:14,13,5,18,,,,,
51,8:14,9,7,16,,,,,
52,8:15,8,8,16,,,,,
53,8:15,10,9,19,,,,,
54,8:15,8,9,17,,,,,
55,8:15,11,10,20,,,,,
56,8:16,8,10,18,,,,,
57,8:16,8,10,18,,,,,
58,8:16,11,10,20,,,,,
